sample,fastq_1,fastq_2
SenT001.07,SRX208904,
SenT001.08,SRX208929,
SenT002.07,SRX208925,
SenT002.09,SRX208903,
SenT015.08,SRX143784,
SenT015.08,SRX143688,
SenT015.09,SRX208931,
SenT018.09,SRX143731,
SenT018.09,SRX143715,
SenT021.09,SRX143775,
SenT021.09,SRX143724,
SenT022.09,SRX143791,
SenT024.08,SRX143726,
SenT024.08,SRX143720,
SenT029.09,SRX143748,
SenT029.09,SRX143771,
SenT032.09,SRX143738,
SenT032.09,SRX143705,
SenT033.08,SRX208898,
SenT033.09,SRX208920,
SenT037.08,SRX144005,
SenT037.08,SRX143686,
SenT042.09,SRX208933,
SenT044.08,SRX143729,
SenT044.08,SRX143682,
SenT044.10,SRX208907,
SenT046.10,SRX208928,
SenT047.09,SRX208911,
SenT061.09,SRX208921,
SenT063.07,SRX208914,
SenT064.10,SRX208927,
SenT066.08,SRX208901,
SenT067.09,SRX208899,
SenT075.10,SRX208896,
SenT077.08,SRX208919,
SenT084.09,SRX143785,
SenT087.08,SRX208924,
SenT090.08,SRX143757,
SenT090.08,SRX143778,
SenT090.09,SRX143786,
SenT090.09,SRX143716,
SenT092.08,SRX208908,
SenT093.09,SRX143742,
SenT093.09,SRX144003,
SenT094.09,SRX208905,
SenT097.09,SRX208906,
SenT101.09,SRX143777,
SenT101.09,SRX143695,
SenT102.08,SRX208897,
SenT104.07,SRX208913,
SenT106.08,SRX208900,
SenT110.09,SRX208926,
SenT111.09,SRX208918,
SenT112.09,SRX208915,
SenT113.09,SRX208917,
SenT119.09,SRX208910,
SenT123.09,SRX208792,
SenT127.09,SRX143768,
SenT127.09,SRX143789,
SenT128.08,SRX208902,
SenT135.09,SRX208794,
SenT137.08,SRX143763,
SenT137.08,SRX143741,
SenT137.09,SRX208923,
SenT139.08,SRX143994,
SenT139.08,SRX143993,
SenT140.08,SRX143747,
SenT140.08,SRX144007,
SenT142.09,SRX144008,
SenT142.09,SRX143702,
SenT144.08,SRX143752,
SenT144.08,SRX143722,
SenT145.08,SRX143749,
SenT145.08,SRX143736,
SenT149.09,SRX208932,
SenT150.09,SRX208916,
SenT151.09,SRX208930,
SenT170.08,SRX208912,
SenT175.08,SRX143701,
SenT175.08,SRX143995,
SenT179.08,SRX208793,
SenT180.08,SRX208895,
SenT190.08,SRX143792,
SenT190.08,SRX143740,
SenT197.08,SRX143710,
SenT197.08,SRX143743,
SenT224.08,SRX208922,
SenT227.08,SRX143794,
SenT227.08,SRX143683,
SenT230.08,SRX143678,
SenT235.08,SRX208909,
SenT238.08,SRX143758,
SenT238.08,SRX143770,